id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,fb_ads_active,fb_ads_creative_count,fb_ads_earliest_seen,google_ads_active,google_ads_creative_count,google_ads_days_active,google_ads_advertiser_name,priority,priority_score,created_at,top_pain_review
260,7,TCL Construction Essex Ltd,Bathroom renovation,,,"20a The Square, Stock, Ingatestone CM4 9LH, UK",https://www.timberconstructionltd.co.uk/,timberconstructionltd.co.uk,07398 200332,ChIJb_SGiKoIFgQRIUkw_C7Sb5U,5.0,138,"KARITZIS, Christopher George",16986127,0,1,18,1775372400,1,53,,KARITZIS CHRISTOPHER GEORGE,B,61,2026-08-09T14:07:22.979098+00:00,
248,7,Bowman Bathrooms Braintree,Bathroom renovation,,,"Units 26-27 Block B, 46-48 Springwood Dr, Braintree CM7 2YN, UK",https://bowmanbathrooms.co.uk/,bowmanbathrooms.co.uk,01376 617001,ChIJo1Hu_1CSPEARG_cEp--dFHE,4.8,81,"BARCLAY, Jonathon Joseph Mcewan",14004226,0,1,51,1759474800,1,26,,Bowman Bathrooms Ltd,B,59,2026-08-09T14:07:22.978335+00:00,
237,7,"Essex Fitters - Luxury Bathroom, Kitchen and Garage conversion specialists in Colchester",Bathroom renovation,,,"16 The Glade, Colchester CO4 3JD, UK",http://www.essexfitters.co.uk/,essexfitters.co.uk,07507 179498,ChIJ_y6DP70E2UcReP_kZubHWmU,4.9,79,"CUTLER, Kirsty",10856694,0,1,1,,1,2,,Essex Fitters colchester ltd,B,58,2026-08-09T14:07:22.974980+00:00,
249,7,Essex Bathrooms & Kitchens,Bathroom renovation,,,"Unit 32, Greenway Business Centre, Harlow Business Park, Harlow CM19 5QE, UK",http://essexbathroomsandkitchens.co.uk/,essexbathroomsandkitchens.co.uk,01279 417300,ChIJpVNGh_ua2EcRKwBjJPJ6lLc,4.6,34,"BREEDEN, Ryan James",13102387,0,1,50,1752303600,1,13,,Essex Heating and Solar Limited,B,56,2026-08-09T14:07:22.978410+00:00,
250,7,Cube Installations | Kitchens | Bathrooms | Home Builder,Bathroom renovation,,,"Unit 2D, 91 London Rd, Copford, Colchester CO6 1LG, UK",https://www.cubeinstallations.co.uk/,cubeinstallations.co.uk,01206 593590,ChIJ7Xr4XXpt2UcR_Nv7PYLGf_4,4.9,31,,CE037966,0,1,1,,1,20,,Matthew Marven,B,56,2026-08-09T14:07:22.978483+00:00,
252,7,Luck And Fuller Bathroom Design Studio,Bathroom renovation,,,"148 High St, Billericay CM12 9DF, UK",http://luckandfuller.co.uk/,luckandfuller.co.uk,01277 525090,ChIJP3MV6YzB2EcRzl2Of_ahfgA,4.9,19,"FULLER, John",13011695,0,1,50,1762934400,1,9,,Kenneth Luck,B,55,2026-08-09T14:07:22.978595+00:00,
267,7,County Washrooms Group Limited,Bathroom renovation,,,"28 Baddow Rd, Chelmsford CM2 0DG, UK",https://countywashrooms.co.uk/,countywashrooms.co.uk,01245 922200,ChIJJ3Xdxpzp2EcRkUFd_KvP0DI,4.8,13,"DAVY, John",11615254,0,1,1,,1,5,,County Washrooms Group Limited,B,55,2026-08-09T14:07:22.979750+00:00,
244,7,"Kings & Queens Luxury Interiors – Kitchen, Bathroom, Tile & Door Showroom in London & Essex",Bathroom renovation,,,"Unit F, Trade Centre – Importers of Italian, Spanish & Indian Porcelain Tiles | Bathrooms | Kitchens | Doors | Flooring | Carpets, 43-49 Fowler Rd, Chigwell, Ilford IG6 3FF, UK",http://www.kings-queens.uk/,kings-queens.uk,020 8500 0777,ChIJU7J-5_yl2EcRfxjJkZKjq6c,4.9,109,"AWADH, Mohammed",16508162,0,1,1,1758783600,0,0,,,B,40,2026-08-09T14:07:22.978023+00:00,
259,7,"Bradford Renovations, LLC",Bathroom renovation,,,"12601 Corral Dr, Lusby, MD 20657, USA",https://bradfordrenovationsmd.com/,bradfordrenovationsmd.com,(443) 962-0820,ChIJXbC9MyRvt4kRZbRRJDmxXj8,4.9,74,,BR004749,0,1,1,,0,0,,,B,38,2026-08-09T14:07:22.979018+00:00,
261,7,Chalker Construction (Essex) Ltd,Bathroom renovation,,,"2 Walden Way, Hornchurch RM11 2LB, UK",http://www.chalkerconstruction.com/,chalkerconstruction.com,07887 500098,ChIJW97zsBS72EcRhzBViKcn2nk,4.9,74,"CHALKER, Danny Charles",09939329,0,1,1,,0,0,,,B,38,2026-08-09T14:07:22.979147+00:00,
265,7,The Essex & Kent Handyman,Bathroom renovation,,,"62 Hammonds Ln, Warley, Brentwood CM13 3AQ, UK",http://www.theessexhandyman.com/,theessexhandyman.com,07793 030917,ChIJq4cay-2_2EcRotrd8zz-ekc,4.8,72,"DAOUDI-DAVIS, Gemma Louise",07618734,0,1,50,1606032000,0,0,,,B,38,2026-08-09T14:07:22.979423+00:00,
