id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,fb_ads_active,fb_ads_creative_count,fb_ads_earliest_seen,google_ads_active,google_ads_creative_count,google_ads_days_active,google_ads_advertiser_name,priority,priority_score,created_at,top_pain_review
16,2,Harley Street Dental Clinic (HSDC London),Cosmetic dentistry / implant clinics,,,"139 Harley St, London, W1G 6BG",https://www.harleystreetdentalclinic.co.uk/?utm_source=GBP&utm_medium=web-site,harleystreetdentalclinic.co.uk,020 7486 1059,ChIJEcAlQtEadkgRdNR0-DW2MJI,4.6,263,"QURESHI, Awais, Dr",14145621,0,1,1,,,,,,B,70,2026-08-09T10:14:39.210152+00:00,"I had a very disappointing and stressful experience with Pro Dental.

I had composite bonding done around two years ago. After the treatment, there was no aftercare advice or follow-up offered, which ..."
78,2,Whites Dental Marble Arch (W2),Cosmetic dentistry / implant clinics,,,"52B Kendal St, St George's Fields, London, W2 2BP",https://www.whitesdental.co.uk/marble-arch-w2/?utm_source=google&utm_medium=maps,whitesdental.co.uk,020 3576 2325,ChIJPQlIkGcbdkgR7tY7woWpQ20,4.9,158,"AL SAIDI, Khilood",06375656,0,1,3,1758006000,,,,,B,67,2026-08-09T10:14:39.213471+00:00,"Incompetent and unprofessional business. Booked an appointment with them then the next day they texted me saying when do I want to book an appointment.

I replied that we had just booked yesterday and..."
4,2,London Dental Implant,Cosmetic dentistry / implant clinics,,,"158, 160 Battersea Park Rd, London, SW11 4ND",http://www.london-dental-implant.co.uk/,london-dental-implant.co.uk,020 7450 2920,ChIJO4TPbgoFdkgRs-iyy0msbT4,4.9,233,"SHEIKH, Azhar Ullah",04525877,0,1,50,1713337200,,,,,B,45,2026-08-09T10:14:39.208288+00:00,
6,2,Marylebone Implant Centre,Cosmetic dentistry / implant clinics,,,"28 Devonshire Pl, London, W1G 6JG",https://maryleboneimplantcentre.co.uk/?utm_source=gmb&utm_medium=organic,maryleboneimplantcentre.co.uk,020 3434 2934,ChIJV7RBrtEadkgR7Mb-j2I_NVw,4.9,204,"SANTOS, Francisco, Dr",07855066,0,1,1,,,,,,B,45,2026-08-09T10:14:39.209469+00:00,
7,2,The Cosmetic Dental Gallery,Cosmetic dentistry / implant clinics,,,"260 Creek Rd, London, SE10 9SW",https://thecosmeticdentalgallery.co.uk/our-practices/greenwich/,thecosmeticdentalgallery.co.uk,020 3883 8180,ChIJCfaqWaADdkgRYJwJqiX0Hcs,5.0,457,"MATHARU, Hartej Singh, Dr",12027945,0,1,50,1589353200,,,,,B,45,2026-08-09T10:14:39.209517+00:00,
9,2,Wimpole Street Dental Clinic,Cosmetic dentistry / implant clinics,,,"38 Queen Anne St, Greater, London, W1G 8HZ",https://wimpolestreetdental.clinic/,wimpolestreetdental.clinic,020 3769 9697,ChIJg4rrxNMadkgRGiZyaQehmWs,4.9,336,"MEHL, Christian Johannes, Dr",12289374,0,1,38,1752476400,,,,,B,45,2026-08-09T10:14:39.209637+00:00,
10,2,Marylebone Smile Clinic,Cosmetic dentistry / implant clinics,,,"66 Harley St, London, W1G 7HD",https://marylebonesmileclinic.co.uk/,marylebonesmileclinic.co.uk,020 7126 8526,ChIJsy8GcPobdkgRfO-_3OEPXEs,5.0,212,"ABRAHAMS, Andrew",09578116,0,1,50,1728370800,,,,,B,45,2026-08-09T10:14:39.209698+00:00,
12,2,Dental Art Implant Clinic - East Finchley,Cosmetic dentistry / implant clinics,,,"91 High Rd, London, N2 8AG",https://www.dentalartimplantclinic.co.uk/,dentalartimplantclinic.co.uk,020 3322 3218,ChIJTQVdgiIadkgRbJrlQDmR3Es,4.6,200,"ANDRIJEVSKIS, Sergejs",08459947,0,1,1,1780038000,,,,,B,45,2026-08-09T10:14:39.209940+00:00,
13,2,Harley Street Dental Art Clinic,Cosmetic dentistry / implant clinics,,,"77 Harley St, London, W1G 8QN",http://harleystreetdentalartclinic.com/,harleystreetdentalartclinic.com,07399 002616,ChIJU_MicUQbdkgRfQD6nqF94MY,4.9,337,"QURESHI, Awais, Dr",14145621,0,1,50,1760338800,,,,,B,45,2026-08-09T10:14:39.209991+00:00,
19,2,The Cosmetic Dental Gallery Battersea,Cosmetic dentistry / implant clinics,,,"20 Patcham Terrace, Nine Elms, London, SW8 4EY",https://thecosmeticdentalgallery.co.uk/our-practices/battersea/,thecosmeticdentalgallery.co.uk,020 8090 3959,ChIJuczdo00FdkgRUPloJZiQVbs,5.0,236,"MATHARU, Baldeep Singh",13386440,0,1,11,1682924400,,,,,B,45,2026-08-09T10:14:39.210284+00:00,
20,2,Covent Garden Dental Spa,Cosmetic dentistry / implant clinics,,,"15 Grape St, London, WC2H 8DR",https://www.coventgardendentalspa.co.uk/,coventgardendentalspa.co.uk,020 7836 9107,ChIJKbJv1cwEdkgRTg6qtiOYStw,5.0,283,"CHIGWEDERE, Nyarai Flora",09291370,0,1,50,1756450800,,,,,B,45,2026-08-09T10:14:39.210333+00:00,
23,2,Harley Street Dental Studio,Cosmetic dentistry / implant clinics,,,"52 Harley St, London, W1G 9PY",https://www.harleystreetdentalstudio.com/,harleystreetdentalstudio.com,020 7636 5981,ChIJ-fgcddQadkgRqitbYN6VqD8,4.7,766,,OC380915,0,1,50,1752476400,,,,,B,45,2026-08-09T10:14:39.210460+00:00,
24,2,Dental Atelier London,Cosmetic dentistry / implant clinics,,,"1 New Crane Pl, London, E1W 3TS",https://www.dentalatelier.london/,dentalatelier.london,07587 888600,ChIJWyI0UVgDdkgRnY_Tu77cf8w,4.8,434,"GHOLAMIFARD, Daria, Dr",16771816,0,1,21,1782457200,,,,,B,45,2026-08-09T10:14:39.210512+00:00,
25,2,DRMR Clinic,Cosmetic dentistry / implant clinics,,,"Floor 1, 251 Brompton Rd, London, SW3 2EP",https://www.drmrlondon.co.uk/,drmrlondon.co.uk,07770 117000,ChIJuegqVp0FdkgRO6kzbtFE9xQ,5.0,326,,LP015149,0,1,34,1754290800,,,,,B,45,2026-08-09T10:14:39.210549+00:00,
26,2,Yorkshire Dental Suite London,Cosmetic dentistry / implant clinics,,,"82 Chelsea Manor St, London, SW3 5QJ",https://www.yorkshiredentalsuite.co.uk/practice/london/?utm_source=google&utm_medium=organic&utm_term=GMB,yorkshiredentalsuite.co.uk,020 4624 0223,ChIJbcDrCk4FdkgRqdGuM6aPJMo,5.0,464,"DALGHOUS, Abdulbaset Mahmoud, Dr",07183270,0,1,50,1753081200,,,,,B,45,2026-08-09T10:14:39.210592+00:00,
27,2,Pro Dental Clinic,Cosmetic dentistry / implant clinics,,,"117 Harley St, London, W1G 6AS",https://prodentalclinic.london/,prodentalclinic.london,020 3026 4402,ChIJtxPxFdEadkgRb-FaQUJsoRI,4.7,551,"GIDDENS, Lauren Jane",14021859,0,1,50,1748156400,,,,,B,45,2026-08-09T10:14:39.210685+00:00,
30,2,Vital Europe Dental Clinic,Cosmetic dentistry / implant clinics,,,"33 Riding House St, London, W1W 7DZ",https://www.vitaleurope.co.uk/,vitaleurope.co.uk,020 3432 5957,ChIJVR8_GC0bdkgRsj71Wh4BvUQ,4.7,432,"AHMED, Sofina, Dr",10239069,0,1,25,1759474800,,,,,B,45,2026-08-09T10:14:39.210797+00:00,
32,2,Notting Hill Dental Clinic & Dental Implant Centre,Cosmetic dentistry / implant clinics,,,"45 Hereford Rd, London, W2 5AH",https://www.nottinghilldentalclinic.com//?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,nottinghilldentalclinic.com,020 7229 9102,ChIJCUAvAwIQdkgRZ-2bPbWgb3A,4.7,279,"WILLIAMS, Kevin",07270824,0,1,9,1779087600,,,,,B,45,2026-08-09T10:14:39.210867+00:00,
34,2,London City Smiles,Cosmetic dentistry / implant clinics,,,"19-21 Islington High St, London, N1 9LQ",https://www.londoncitysmiles.com/,londoncitysmiles.com,020 7837 2300,ChIJHZyKOUMbdkgR4qkddnF2v-0,4.8,1409,"VEKARIA, Balwant Kurji",08538906,0,1,50,1590130800,,,,,B,45,2026-08-09T10:14:39.210992+00:00,
35,2,Smile Cliniq - St Johns Wood Dentist,Cosmetic dentistry / implant clinics,,,"102 Boundary Rd, London, NW8 0RH",https://www.smilecliniq.com/locations/st-johns-wood-dentist/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button,smilecliniq.com,020 7328 1200,ChIJjYDACZ8adkgRRFRgen4RXPc,4.6,466,"KAHER, Chetan, Dr",08279068,0,1,1,,,,,,B,45,2026-08-09T10:14:39.211086+00:00,
36,2,Elgin Dental Care and Implant Clinic,Cosmetic dentistry / implant clinics,,,"284 Elgin Ave., London, W9 1JR",https://www.elgindentalcare.co.uk/,elgindentalcare.co.uk,020 7286 1830,ChIJoyS9O6cadkgR7p-wwBXKIIs,4.9,243,"FARMER, Pauline",SC341789,0,1,50,1736928000,,,,,B,45,2026-08-09T10:14:39.211148+00:00,
37,2,London Dental Studio,Cosmetic dentistry / implant clinics,,,"27-29 Warwick Wy, Pimlico, London, SW1V 1QT",https://www.londondentalstudio.co.uk/?utm_source=gbm,londondentalstudio.co.uk,020 7630 0782,ChIJ8Sd-O-AEdkgRZKg2oBxpySY,4.6,545,"MACHO VEGA, Laura",12153666,0,1,50,1725606000,,,,,B,45,2026-08-09T10:14:39.211200+00:00,
39,2,CAP City Dental,Cosmetic dentistry / implant clinics,,,"First Floor, 14 Austin Friars, London, EC2N 2HE",https://www.capcitydental.co.uk/,capcitydental.co.uk,020 7621 0600,ChIJKfurcVQDdkgRysBgeAEhaV4,4.9,231,"SARTORE, Alfredo",SC700255,0,1,50,1754031600,,,,,B,45,2026-08-09T10:14:39.211306+00:00,
40,2,Mint Dental Clinic,Cosmetic dentistry / implant clinics,,,"3, St Georges Court, Garden Row, Elephant and Castle, London SE1 6HD",http://www.mintdentalclinic.co.uk/,mintdentalclinic.co.uk,020 7928 4474,ChIJ50zt2aIEdkgRj1I1JMrJnjs,4.8,618,"PATEL, Raj Jayesh",09874961,0,1,50,1751439600,,,,,B,45,2026-08-09T10:14:39.211361+00:00,
43,2,Dental Smiles London | Euston Practice,Cosmetic dentistry / implant clinics,,,"30-32 Chalton St, London, NW1 1JB",https://www.dentalsmileslondon.co.uk/find-us/euston,dentalsmileslondon.co.uk,020 3757 5272,ChIJy3QEtiQbdkgRYw6oHQUMnBo,4.8,886,"DEVED, Ashish, Dr",08323186,0,1,1,,,,,,B,45,2026-08-09T10:14:39.211513+00:00,
47,2,Thurloe Street Dental South Kensington,Cosmetic dentistry / implant clinics,,,"10 Thurloe St, South Kensington, London, SW7 2ST",http://www.londonsmiles.com/?utm_source=gbp,londonsmiles.com,020 7584 5551,ChIJo7GWfEIFdkgROPkhihvOc6w,5.0,536,"TONNER, Barrie A",SC375348,0,1,1,,,,,,B,45,2026-08-09T10:14:39.211775+00:00,
48,2,Twoth Dental + Facial Aesthetics,Cosmetic dentistry / implant clinics,,,"74 St John's Wood High St, London, NW8 7SH",https://twoth.com/,twoth.com,020 4542 0155,ChIJh18ilCAbdkgR1g2MhEOg9wI,4.9,300,"HOWORKO, Ryan",08958229,0,1,30,1752735600,,,,,B,45,2026-08-09T10:14:39.211844+00:00,
51,2,Sonria Dental Clinic,Cosmetic dentistry / implant clinics,,,"25 Devonshire Pl, London, W1G 6JD",https://www.sonriadentalclinic.co.uk/,sonriadentalclinic.co.uk,020 7224 1402,ChIJneaprdEadkgRq4R8LLJmgTk,4.9,411,"PACKHAM, Leyla Janessa",08565344,0,1,3,1749366000,,,,,B,45,2026-08-09T10:14:39.212009+00:00,
54,2,Maida Smiles Dental Clinic,Cosmetic dentistry / implant clinics,,,"207-209 Sutherland Ave, London, W9 1RU",https://maidasmiles.co.uk/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,maidasmiles.co.uk,020 4634 4503,ChIJmVuarzUbdkgRoUGwfIEU0rg,4.8,439,"MCHENRY, Shauna Marie",NI730436,0,1,5,1761894000,,,,,B,45,2026-08-09T10:14:39.212165+00:00,
