firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Air Conditioning Direct,air conditioning companies,South London,E18 1LE,020 8989 8989,,http://www.ac-direct.co.uk/,9,4.1,90,10,has_negative_recent;no_booking;no_chat,,,,false,false,
Total Contracting Services - Air Conditioning Sevenoaks,air conditioning companies,South London,TN14 7AA,01227 277719,enquiries@totalcontractingservices.co.uk,https://www.totalcontractingservices.co.uk/,5,4.2,90,5,has_negative_recent;no_chat,,,,false,false,
Air Conditioning Wandsworth London,air conditioning companies,South London,SW19 6NW,01342 836000,,https://www.airtech.co.uk/air-conditioning-wandsworth/,81,4.7,45,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,,,,false,false,
Takcooling-REFREGIRATION SPECIALIST & AIR CONDITIONING- COLD ROOM INSTALLATION- MAINTENANCE- SERVICE- EMERGENCY CALL 24/7,air conditioning companies,South London,SE15 6NH,07449 271197,info@takcooling.co.uk,https://takcooling.co.uk/,13,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Fresh Air Facilities,air conditioning companies,South London,SW1W 8AB,07456 372001,info@fresh-airfacilities.com,https://fresh-airfacilities.co.uk/,15,4.9,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
South Eastern Air Conditioning (London) Ltd.,air conditioning companies,South London,ME20 7FJ,07469 995170,,https://www.seaircon.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Associated Cooling Services,air conditioning companies,South London,SE26 5BW,020 8778 8668,service@acsuk.org,https://www.acsuk.org/,6,4.7,40,10,no_booking;no_chat,,,,false,false,
Cool Electrics: Air Conditioning Installation in South West ...,air conditioning companies,South London,SW11 2PR,020 3130 4033,info@coolelectrics.com,https://www.coolelectrics.com/,2,5.0,40,5,no_chat,,,,false,false,
ACS Air Conditioning South West London AC Installers,air conditioning companies,South London,SE26 5BW,020 8778 8668,info@aircoolingservicesltd.co.uk,https://aircoolingservicesltd.co.uk/south-west-london/,6,4.7,40,5,no_booking,,,,false,false,
ECS,air conditioning companies,South London,BR1 1RJ,020 8057 0070,http://ecs@fagingroup.com,https://www.ecoclimatesolutions.com/,192,4.7,35,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,,,,false,false,
